Date : 2024-01-02 17:22:45
Directory : d:\original\TRACNEW2
Total : 457 files,  631578 codes, 801 comments, 1701 blanks, all 634080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\UploadManager.test.ts                     | TypeScript         |        189 |          1 |          3 |        193 |
| d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\UploadStore.test.ts                       | TypeScript         |         52 |          0 |          2 |         54 |
| d:\original\TRACNEW2\apps\trac-api\src\app\emails\CreateEmail.ts                                         | TypeScript         |        102 |          6 |         14 |        122 |
| d:\original\TRACNEW2\apps\trac-api\src\app\emails\EmailSender.ts                                         | TypeScript         |         40 |          4 |          4 |         48 |
| d:\original\TRACNEW2\apps\trac-api\src\app\emails\GeneratePdf.ts                                         | TypeScript         |         97 |         14 |         10 |        121 |
| d:\original\TRACNEW2\apps\trac-api\src\app\emails\ScheduleBatches.ts                                     | TypeScript         |        249 |         21 |         19 |        289 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\AuditCommit.ts                                         | TypeScript         |         93 |         11 |          7 |        111 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\AuditTransformer.ts                                    | TypeScript         |        124 |         11 |          8 |        143 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadAnalysisA.ts                                     | TypeScript         |          7 |          0 |          3 |         10 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadAuditAnalysis.ts                                 | TypeScript         |         23 |          1 |          3 |         27 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadCommitA.ts                                       | TypeScript         |          6 |          0 |          4 |         10 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadDataAnalysis.ts                                  | TypeScript         |         16 |          0 |          4 |         20 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadDataCommit.ts                                    | TypeScript         |         31 |          0 |          4 |         35 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadDataTransformer.ts                               | TypeScript         |         20 |          0 |          5 |         25 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadTransformerA.ts                                  | TypeScript         |          6 |          0 |          3 |          9 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadWizardProvider.ts                                | TypeScript         |        121 |         12 |         14 |        147 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\AuditCommit.test.ts                          | TypeScript         |         94 |          2 |          2 |         98 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\AuditTransformer.test.ts                     | TypeScript         |        163 |          0 |          3 |        166 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\IolBulkCommit.test.ts                        | TypeScript         |         96 |          2 |          3 |        101 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\RefreshData.test.ts                          | TypeScript         |         94 |          6 |          3 |        103 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\UploadAuditAnalysis.test.ts                  | TypeScript         |        108 |          0 |          4 |        112 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\UploadDataAnalysis.test.ts                   | TypeScript         |         84 |          0 |          2 |         86 |
| d:\original\TRACNEW2\apps\trac-api\src\app\upload\__tests__\UploadDataTransformer.test.ts                | TypeScript         |        122 |          0 |          2 |        124 |
| d:\original\TRACNEW2\apps\trac-api\src\assets\IOL_Download 2023.02.07.csv                                | CSV                |    571,081 |          0 |          1 |    571,082 |
| d:\original\TRACNEW2\apps\trac-api\src\environments\environment.prod.ts                                  | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\trac-api\src\environments\environment.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| d:\original\TRACNEW2\apps\trac-api\src\main.ts                                                           | TypeScript         |        270 |         15 |         29 |        314 |
| d:\original\TRACNEW2\apps\trac-api\tsconfig.app.json                                                     | JSON               |         12 |          0 |          1 |         13 |
| d:\original\TRACNEW2\apps\trac-api\tsconfig.json                                                         | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\trac-api\tsconfig.spec.json                                                    | JSON               |         10 |          0 |          1 |         11 |
| d:\original\TRACNEW2\apps\trac-audit-data\.eslintrc.json                                                 | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\trac-audit-data\jest.config.ts                                                 | TypeScript         |         15 |          1 |          1 |         17 |
| d:\original\TRACNEW2\apps\trac-audit-data\project.json                                                   | JSON               |         57 |          0 |          1 |         58 |
| d:\original\TRACNEW2\apps\trac-audit-data\src\app\TracProcess.ts                                         | TypeScript         |         45 |          2 |          4 |         51 |
| d:\original\TRACNEW2\apps\trac-audit-data\src\main.ts                                                    | TypeScript         |         73 |          1 |          5 |         79 |
| d:\original\TRACNEW2\apps\trac-audit-data\tsconfig.app.json                                              | JSON               |         12 |          0 |          1 |         13 |
| d:\original\TRACNEW2\apps\trac-audit-data\tsconfig.json                                                  | JSON with Comments |         13 |          0 |          1 |         14 |
| d:\original\TRACNEW2\apps\trac-audit-data\tsconfig.spec.json                                             | JSON               |          9 |          0 |          1 |         10 |
| d:\original\TRACNEW2\apps\trac-web\.eslintrc.json                                                        | JSON with Comments |         18 |          0 |          1 |         19 |
| d:\original\TRACNEW2\apps\trac-web\Dockerfile                                                            | Docker             |         13 |          3 |          3 |         19 |
| d:\original\TRACNEW2\apps\trac-web\jest.config.ts                                                        | TypeScript         |         16 |          1 |          1 |         18 |
| d:\original\TRACNEW2\apps\trac-web\project.json                                                          | JSON               |        101 |          0 |          1 |        102 |
| d:\original\TRACNEW2\apps\trac-web\src\App.tsx                                                           | TypeScript JSX     |         16 |          0 |          4 |         20 |
| d:\original\TRACNEW2\apps\trac-web\src\Reducer.jsx                                                       | JavaScript JSX     |         32 |          4 |          2 |         38 |
| d:\original\TRACNEW2\apps\trac-web\src\TracContext.tsx                                                   | TypeScript JSX     |         75 |          2 |          5 |         82 |
| d:\original\TRACNEW2\apps\trac-web\src\api\auditApi.ts                                                   | TypeScript         |         77 |          2 |          9 |         88 |
| d:\original\TRACNEW2\apps\trac-web\src\api\consignmentApi.ts                                             | TypeScript         |         15 |          0 |          3 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\api\customerApi.ts                                                | TypeScript         |         52 |          6 |          7 |         65 |
| d:\original\TRACNEW2\apps\trac-web\src\api\downloadApi.ts                                                | TypeScript         |         57 |          3 |          6 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\api\emailApi.ts                                                   | TypeScript         |         59 |          0 |          7 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\AuditScanFormatter.ts                              | TypeScript         |         15 |          0 |          4 |         19 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\ConsignmentFormatter.ts                            | TypeScript         |         14 |          0 |          4 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\UploadDataFormatter.ts                             | TypeScript         |         20 |          0 |          2 |         22 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\UploadFormatter.ts                                 | TypeScript         |          3 |          0 |          2 |          5 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\UploadIolDataFormatter.ts                          | TypeScript         |         16 |          0 |          2 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\api\formatters\index.ts                                           | TypeScript         |         53 |          1 |          3 |         57 |
| d:\original\TRACNEW2\apps\trac-web\src\api\productApi.ts                                                 | TypeScript         |         28 |          0 |          5 |         33 |
| d:\original\TRACNEW2\apps\trac-web\src\api\refreshApi.ts                                                 | TypeScript         |          8 |          0 |          2 |         10 |
| d:\original\TRACNEW2\apps\trac-web\src\api\salesRepApi.ts                                                | TypeScript         |         29 |          2 |          4 |         35 |
| d:\original\TRACNEW2\apps\trac-web\src\api\searchApi.ts                                                  | TypeScript         |         24 |          3 |          5 |         32 |
| d:\original\TRACNEW2\apps\trac-web\src\api\uploadApi.ts                                                  | TypeScript         |        103 |         11 |          6 |        120 |
| d:\original\TRACNEW2\apps\trac-web\src\api\userApi.ts                                                    | TypeScript         |         46 |          6 |         13 |         65 |
| d:\original\TRACNEW2\apps\trac-web\src\components\BatchEditA.ts                                          | TypeScript         |          9 |          1 |          1 |         11 |
| d:\original\TRACNEW2\apps\trac-web\src\components\DevDataViewer.jsx                                      | JavaScript JSX     |          9 |          0 |          4 |         13 |
| d:\original\TRACNEW2\apps\trac-web\src\components\DownloadXLSX.jsx                                       | JavaScript JSX     |         20 |          9 |          2 |         31 |
| d:\original\TRACNEW2\apps\trac-web\src\components\ErrorBoundary.tsx                                      | TypeScript JSX     |         24 |          2 |          5 |         31 |
| d:\original\TRACNEW2\apps\trac-web\src\components\FileSelectButton.tsx                                   | TypeScript JSX     |         27 |          0 |          4 |         31 |
| d:\original\TRACNEW2\apps\trac-web\src\components\Notification.jsx                                       | JavaScript JSX     |         24 |          5 |          6 |         35 |
| d:\original\TRACNEW2\apps\trac-web\src\components\SelectSalesRep.tsx                                     | TypeScript JSX     |         67 |          2 |          3 |         72 |
| d:\original\TRACNEW2\apps\trac-web\src\components\__tests__\FileSelectButton.test.tsx                    | TypeScript JSX     |         44 |          5 |          4 |         53 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\AccountContextMenu.tsx                         | TypeScript JSX     |         22 |          1 |          3 |         26 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\AccountFromContext.tsx                         | TypeScript JSX     |         43 |          0 |          4 |         47 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\AccountsTable.tsx                              | TypeScript JSX     |        128 |          5 |          5 |        138 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\BatchAccounts.ts                               | TypeScript         |         33 |          0 |          4 |         37 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\LoadAccountIntoContext.tsx                     | TypeScript JSX     |         38 |          6 |          3 |         47 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\LoadSalesRepIntoContext.tsx                    | TypeScript JSX     |         37 |          2 |          2 |         41 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\SalesRepFromContext.tsx                        | TypeScript JSX     |         31 |          0 |          3 |         34 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\__tests__\AccountFromContext.test.tsx          | TypeScript JSX     |         47 |          0 |          2 |         49 |
| d:\original\TRACNEW2\apps\trac-web\src\components\account\__tests__\LoadAccountIntoContext.test.tsx      | TypeScript JSX     |         70 |          0 |          2 |         72 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditContextMenu.tsx                             | TypeScript JSX     |         24 |          1 |          1 |         26 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditLocation.tsx                                | TypeScript JSX     |         81 |          8 |          5 |         94 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditMenu.tsx                                    | TypeScript JSX     |         40 |          3 |          2 |         45 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditScanUploadTable.tsx                         | TypeScript JSX     |         78 |          1 |          7 |         86 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditStatistics.tsx                              | TypeScript JSX     |         52 |          2 |          2 |         56 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditUploadSubmit.tsx                            | TypeScript JSX     |        157 |          5 |          9 |        171 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\AuditedAccountsTable.tsx                         | TypeScript JSX     |         89 |          3 |          3 |         95 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\BatchEditAudit.ts                                | TypeScript         |         45 |          0 |          8 |         53 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\ChangeAuditMatchDialog.tsx                       | TypeScript JSX     |        160 |          0 |         10 |        170 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\ConfirmRemoveAudit.tsx                           | TypeScript JSX     |         24 |          1 |          2 |         27 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\ItemFilter.tsx                                   | TypeScript JSX     |         43 |          3 |          3 |         49 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\ItemFilterState.ts                               | TypeScript         |         69 |          0 |          3 |         72 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\LoadAuditIntoContext.tsx                         | TypeScript JSX     |         17 |          3 |          3 |         23 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\AuditHistoryTable.test.tsx             | TypeScript JSX     |        130 |          1 |          2 |        133 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\AuditLocation.test.tsx                 | TypeScript JSX     |         93 |          0 |          9 |        102 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\AuditStatistics.test.tsx               | TypeScript JSX     |        158 |          0 |          3 |        161 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\BatchEdit.test.ts                      | TypeScript         |         50 |          0 |          2 |         52 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\ChangeAuditMatchDialog.test.tsx        | TypeScript JSX     |        153 |          5 |          2 |        160 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\ContextMenu.test.tsx                   | TypeScript JSX     |         28 |          0 |          2 |         30 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\ItemFilter.test.tsx                    | TypeScript JSX     |          4 |          1 |          1 |          6 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\ItemFilterState.test.ts                | TypeScript         |          2 |          0 |          1 |          3 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\LoadAuditIntoContext.test.tsx          | TypeScript JSX     |          2 |          0 |          1 |          3 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\UploadAuditScanAnalyticsTable.test.tsx | TypeScript JSX     |         66 |          1 |          3 |         70 |
| d:\original\TRACNEW2\apps\trac-web\src\components\audit\__tests__\UploadAuditScanDetailsTable.test.tsx   | TypeScript JSX     |        309 |          5 |          3 |        317 |
| d:\original\TRACNEW2\apps\trac-web\src\components\consignments\ConsignmentsTable.tsx                     | TypeScript JSX     |        122 |          6 |          6 |        134 |
| d:\original\TRACNEW2\apps\trac-web\src\components\consignments\ExpirationsTable.tsx                      | TypeScript JSX     |        115 |          4 |          5 |        124 |
| d:\original\TRACNEW2\apps\trac-web\src\components\consignments\FilterToggle.ts                           | TypeScript         |         16 |          0 |          2 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\components\consignments\__tests__\ConsignmentsTable.test.tsx      | TypeScript JSX     |        156 |          0 |          5 |        161 |
| d:\original\TRACNEW2\apps\trac-web\src\components\consignments\__tests__\ExpirationsTable.test.tsx       | TypeScript JSX     |        130 |          1 |          6 |        137 |
| d:\original\TRACNEW2\apps\trac-web\src\components\email\BatchEmailDialog.tsx                             | TypeScript JSX     |         51 |          0 |          3 |         54 |
| d:\original\TRACNEW2\apps\trac-web\src\components\email\EmailSettingsForm.tsx                            | TypeScript JSX     |        191 |          4 |          4 |        199 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\AddAuditNoteDialog.tsx                           | TypeScript JSX     |         65 |          0 |          2 |         67 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\AddItemsNoteDialog.tsx                           | TypeScript JSX     |         58 |          0 |          2 |         60 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\NoteCard.tsx                                     | TypeScript JSX     |         22 |          0 |          3 |         25 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\NotesMapping.ts                                  | TypeScript         |         53 |          0 |          1 |         54 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\NotesPanel.tsx                                   | TypeScript JSX     |         20 |          2 |          3 |         25 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\NotesPanelState.ts                               | TypeScript         |         60 |          5 |          1 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\AddAuditNoteDialog.test.tsx            | TypeScript JSX     |         63 |          0 |          3 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\AddItemsNoteDialog.test.tsx            | TypeScript JSX     |         63 |          0 |          2 |         65 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\NoteCard.test.tsx                      | TypeScript JSX     |         51 |          0 |          2 |         53 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\NotesMappings.test.ts                  | TypeScript         |         57 |          0 |          2 |         59 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\NotesPanel.test.tsx                    | TypeScript JSX     |         54 |          0 |          2 |         56 |
| d:\original\TRACNEW2\apps\trac-web\src\components\notes\__tests__\NotesPanelState.test.ts                | TypeScript         |         93 |          0 |          2 |         95 |
| d:\original\TRACNEW2\apps\trac-web\src\components\products\BatchProductEdit.ts                           | TypeScript         |         16 |          0 |          2 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\components\products\ChangeUnitPrice.tsx                           | TypeScript JSX     |         45 |          0 |          2 |         47 |
| d:\original\TRACNEW2\apps\trac-web\src\components\products\ProductContextMenu.tsx                        | TypeScript JSX     |         25 |          0 |          1 |         26 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\AutoCompleteDebouncer.ts                        | TypeScript         |         30 |          1 |          1 |         32 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\RowButtonsState.ts                              | TypeScript         |         80 |          2 |          4 |         86 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\SearchFilterButtonsState.ts                     | TypeScript         |         24 |          0 |          3 |         27 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\SearchFilters.tsx                               | TypeScript JSX     |         25 |          6 |          2 |         33 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\SearchWithAutoComplete.tsx                      | TypeScript JSX     |        168 |         13 |          7 |        188 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\AutoCompleteDebouncer.test.ts         | TypeScript         |         37 |          0 |          3 |         40 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\RowButtonsState.test.ts               | TypeScript         |         93 |          0 |          3 |         96 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\SearchFilterButtonsState.test.ts      | TypeScript         |         46 |          0 |          3 |         49 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\SearchFilters.test.tsx                | TypeScript JSX     |         66 |          3 |          2 |         71 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\SearchSuggestions.test.tsx            | TypeScript JSX     |         63 |          2 |          2 |         67 |
| d:\original\TRACNEW2\apps\trac-web\src\components\search\__tests__\SearchWithAutoComplete.test.tsx       | TypeScript JSX     |        164 |          4 |          5 |        173 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\CellTooltip.tsx                                 | TypeScript JSX     |         19 |          2 |          1 |         22 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\DialogModal.tsx                                 | TypeScript JSX     |         21 |          0 |          2 |         23 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\DownloadButton.tsx                              | TypeScript JSX     |        118 |          2 |          5 |        125 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\GlobalFilter.tsx                                | TypeScript JSX     |         18 |          2 |          2 |         22 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\HandleClicks.ts                                 | TypeScript         |         48 |          1 |          5 |         54 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\SelectedRowsState.ts                            | TypeScript         |        132 |         18 |         17 |        167 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\TableOps.tsx                                    | TypeScript JSX     |         75 |          2 |         13 |         90 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\TracTable.tsx                                   | TypeScript JSX     |        130 |          8 |         10 |        148 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\CellTooltip.test.tsx                  | TypeScript JSX     |         44 |          4 |          2 |         50 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\DownloadButton.test.ts                | TypeScript         |          0 |          0 |          1 |          1 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\GlobalFilter.test.tsx                 | TypeScript JSX     |         42 |          6 |          4 |         52 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\Pagination.test.tsx                   | TypeScript JSX     |        120 |          1 |          3 |        124 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\ReactTable.test.tsx                   | TypeScript JSX     |        162 |          6 |          6 |        174 |
| d:\original\TRACNEW2\apps\trac-web\src\components\tables\__tests__\SelectRowsState.test.ts               | TypeScript         |        162 |          0 |          3 |        165 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\DataUploadHistory.tsx                           | TypeScript JSX     |        104 |          0 |          4 |        108 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\UploadDataAnalyticsTable.tsx                    | TypeScript JSX     |         86 |          2 |          4 |         92 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\UploadStatus.tsx                                | TypeScript JSX     |         53 |          0 |          2 |         55 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\UploadSubmit.tsx                                | TypeScript JSX     |        109 |          2 |          7 |        118 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\AuditUploadForm.test.tsx              | TypeScript JSX     |         97 |          0 |          7 |        104 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\DataUploadHistoryTable.test.tsx       | TypeScript JSX     |         67 |          0 |          3 |         70 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\IolRecordFormatter.test.ts            | TypeScript         |         20 |          0 |          2 |         22 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\RecordFormatter.test.ts               | TypeScript         |        202 |          0 |          3 |        205 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\UploadAnalyticsComponent.test.tsx     | TypeScript JSX     |         50 |          1 |          2 |         53 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\UploadDetailsTable.test.tsx           | TypeScript JSX     |        333 |          6 |          2 |        341 |
| d:\original\TRACNEW2\apps\trac-web\src\components\upload\__tests__\UploadSubmit.test.tsx                 | TypeScript JSX     |         63 |          5 |          4 |         72 |
| d:\original\TRACNEW2\apps\trac-web\src\consignment.jsx                                                   | JavaScript JSX     |        405 |         40 |         23 |        468 |
| d:\original\TRACNEW2\apps\trac-web\src\httpConfig.ts                                                     | TypeScript         |         10 |          0 |          3 |         13 |
| d:\original\TRACNEW2\apps\trac-web\src\index.html                                                        | HTML               |         14 |          0 |          2 |         16 |
| d:\original\TRACNEW2\apps\trac-web\src\main.tsx                                                          | TypeScript JSX     |         16 |          0 |          2 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\AppHeader.jsx                                          | JavaScript JSX     |         40 |          0 |          7 |         47 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\DebugRouter.tsx                                        | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\Layout.tsx                                             | TypeScript JSX     |         21 |          0 |          4 |         25 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\Login.tsx                                              | TypeScript JSX     |        101 |         14 |         16 |        131 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\PagesMap.ts                                            | TypeScript         |        102 |          2 |         12 |        116 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\RouterSwitch.jsx                                       | JavaScript JSX     |         62 |          1 |          3 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\Tab.tsx                                                | TypeScript JSX     |         16 |          1 |          1 |         18 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\TabContainer.tsx                                       | TypeScript JSX     |         31 |          3 |          2 |         36 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\TabsBar.tsx                                            | TypeScript JSX     |        103 |          0 |          3 |        106 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\UseLoginUser.tsx                                       | TypeScript JSX     |         37 |          0 |          4 |         41 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\__tests__\Layout.test.tsx                              | TypeScript JSX     |         51 |          2 |          7 |         60 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\__tests__\Login.test.tsx                               | TypeScript JSX     |         50 |          0 |          1 |         51 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\__tests__\PageMap.test.ts                              | TypeScript         |         62 |          2 |          2 |         66 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\__tests__\TabsBar.test.tsx                             | TypeScript JSX     |        169 |          2 |         11 |        182 |
| d:\original\TRACNEW2\apps\trac-web\src\navigation\__tests__\useLoginUser.test.tsx                        | TypeScript JSX     |         47 |          0 |          2 |         49 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Accounts.tsx                                                | TypeScript JSX     |         55 |          0 |          2 |         57 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Audit.tsx                                                   | TypeScript JSX     |        316 |         17 |         10 |        343 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\AuditAccounts.tsx                                           | TypeScript JSX     |         54 |          0 |          2 |         56 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\AuditUpload.tsx                                             | TypeScript JSX     |        111 |          7 |          5 |        123 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\ChangePwd.tsx                                               | TypeScript JSX     |         90 |          5 |         20 |        115 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\ClearSearch.ts                                              | TypeScript         |         15 |          0 |          2 |         17 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Customers.tsx                                               | TypeScript JSX     |        110 |          0 |          6 |        116 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\DataUpload.tsx                                              | TypeScript JSX     |        111 |          6 |          6 |        123 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\EmailSettings.tsx                                           | TypeScript JSX     |         73 |          2 |          2 |         77 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Expiration.tsx                                              | TypeScript JSX     |         54 |          0 |          2 |         56 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\IolConsignments.tsx                                         | TypeScript JSX     |         52 |          0 |          7 |         59 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\IolDuplicates.tsx                                           | TypeScript JSX     |         39 |          0 |          5 |         44 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\OpenAudits.tsx                                              | TypeScript JSX     |         88 |          4 |          2 |         94 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\OpenAuditsTest.tsx                                          | TypeScript JSX     |         93 |          4 |          2 |         99 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Products.tsx                                                | TypeScript JSX     |         72 |          0 |          5 |         77 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\SalesReps.tsx                                               | TypeScript JSX     |         36 |          0 |          5 |         41 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\SalesRepsTest.tsx                                           | TypeScript JSX     |         36 |          0 |          5 |         41 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Search.tsx                                                  | TypeScript JSX     |        140 |         14 |          9 |        163 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\SignUp.tsx                                                  | TypeScript JSX     |         89 |          5 |         16 |        110 |
| d:\original\TRACNEW2\apps\trac-web\src\pages\Users.tsx                                                   | TypeScript JSX     |         23 |          0 |         12 |         35 |
